adult,backdrop_path,genre_ids,id,title,original_language,original_title,overview,popularity,poster_path,release_date,softcore,video,vote_average,vote_count,runtime,budget,revenue,status,tagline,director
False,/eNAFLrd1XAAD4hgdTPjewpzYU4W.jpg,35,1320660,Pati Patni Aur Woh Do,hi,पति पत्नी और वो दो,"A seemingly perfect marriage in Prayagraj takes an unexpected turn when one decision leads to a chain of misunderstandings, suspicion, and comedic chaos.",34.2068,/x0RUPvba4JlCCkyyEZGlQFIFVuF.jpg,2026-05-15,False,False,7.5,4,117,0,0,Released,,Mudassar Aziz
False,/wubUakLEAAnKeXmuTks5insTKQx.jpg,27,37169,The Human Centipede (First Sequence),en,The Human Centipede (First Sequence),"During a stopover in Germany in the middle of a carefree road trip through Europe, two American girls find themselves alone at night when their car breaks down in the woods. Searching for help at a nearby villa, they are wooed into the clutches of a deranged retired surgeon, who has a very disturbed vision.",34.1853,/gMtjxIkEi0hnTV5lPHbgeZ4ZpUZ.jpg,2009-10-31,False,False,5.187,2393,92,2000000,252207,Released,Their flesh is his fantasy.,Tom Six
False,/7RyHsO4yDXtBv1zUU3mTpHeQ0d5.jpg,"12,878,28",299534,Avengers: Endgame,en,Avengers: Endgame,"After the devastating events of Avengers: Infinity War, the universe is in ruins due to the efforts of the Mad Titan, Thanos. With the help of remaining allies, the Avengers must assemble once more in order to undo Thanos' actions and restore order to the universe once and for all, no matter what consequences may be in store.",34.1422,/ulzhLuWrPK07P1YkdWQLZnQh1JL.jpg,2019-04-24,False,False,8.237,27847,181,356000000,2799439100,Released,Avenge the fallen.,Joe Russo
False,/qU7tNIMpRqkizIObXfkJY3haTqh.jpg,"18,10402,10749",27,9 Songs,en,9 Songs,"Matt, a young glaciologist, soars across the vast, silent, icebound immensities of the South Pole as he recalls his love affair with Lisa. They meet at a mobbed rock concert in a vast music hall - London's Brixton Academy. They are in bed at night's end. Together, over a period of several months, they pursue a mutual sexual passion whose inevitable stages unfold in counterpoint to nine live-concert songs.",34.116,/91O7z0vo7MiNWd5xD2BoivwbQsb.jpg,2004-07-16,False,False,5.552,581,70,1000000,1574623,Released,"2 lovers, one summer, and the 9 songs that defined them.",Michael Winterbottom
False,/hofnlIyF6bePkgQOpcuRWLvzf15.jpg,"16,10751,14",14836,Coraline,en,Coraline,"Wandering her rambling old house in her boring new town, 11-year-old Coraline discovers a hidden door to a strangely idealized version of her life. In order to stay in the fantasy, she must make a frighteningly real sacrifice.",33.9928,/4jeFXQYytChdZYE9JYO7Un87IlW.jpg,2009-02-05,False,False,7.913,9021,100,60000000,185860104,Released,Be careful what you wish for.,Henry Selick
False,/svMVeFhIrqCUiFLyMtNLJpSAJ06.jpg,"9648,878",1083884,Signal One,en,Signal One,"A computer scientist is invited by a tech billionaire to join his private facility on a Caribbean island to investigate extraterrestrial matter on Earth. When they make contact beyond our world, chaos erupts as we’re left to wonder: do they come in peace?",33.9751,/bi7Aeaozl51cd5K6vAn8tI1lOW0.jpg,2026-06-05,False,False,6.5,17,112,0,0,Released,First contact has been made.,Jonathan Sobol
False,/mTSL8FmdAO1YiPQzr0fUacCUS0H.jpg,"27,28,53",1233413,Sinners,en,Sinners,"Trying to leave their troubled lives behind, twin brothers return to their hometown to start again, only to discover that an even greater evil is waiting to welcome them back.",33.9131,/fWPgbnt2LSqkQ6cdQc0SZN9CpLm.jpg,2025-04-16,False,False,7.5,4632,138,100000000,370000000,Released,Dance with the devil.,Ryan Coogler
False,/jAJYVbVR5fP0BeTQXRP1BXjW5bl.jpg,18,1669050,Tayuan 2,tl,Tayuan 2,"A charming bus conductor drawn to both men and women who feels an unexpected spark with a shy commuter. On crowded bus rides where bodies brush, desire grows and love becomes messy.",33.7398,/gkHNa8q3RNhgj2EMuoYWJUHsMa6.jpg,2026-04-17,False,False,4.9,8,71,0,0,Released,,Topel Lee
False,/7QirCB1o80NEFpQGlQRZerZbQEp.jpg,"10749,18",1156594,Our Fault,es,Culpa nuestra,"Jenna and Lion's wedding brings about the long-awaited reunion between Noah and Nick after their breakup. Nick's inability to forgive Noah stands as an insurmountable barrier. He, heir to his grandfather's businesses, and she, starting her professional life, resist fueling a flame that's still alive. But now that their paths have crossed again, will love be stronger than resentment?",33.3578,/yzqHt4m1SeY9FbPrfZ0C2Hi9x1s.jpg,2025-10-15,False,False,7.364,681,110,0,0,Released,,Domingo González
False,,10749,920728,We Want Now,ko,우리 지금 할래,"A man who protects the island and his woman, Soo-hee, live on a remote island that is nothing more than an uninhabited island. And Bok-soon, who lost her mind after being abandoned by the man she loved. This is an island where only three people live, even if they die. Then one day, a photographer who seems to be holding something secret comes to the island. However, the man who guards the island misunderstands the visitor and kills him because of it. Bok-soon, who loved the dead photographer, commits suicide upon seeing the photographer's death. A man who has gone mad after killing someone hears a story from Soo-hee, who lives with him, and only later finds out all the secrets...",33.3407,/mQ95TSIl1QqNWCMQs1lTRgZUWT8.jpg,2016-04-20,False,False,0.0,0,58,0,0,Released,,Park Bum-soo
