movie_id,title,original_language,popularity,vote_average,vote_count,runtime,budget,revenue,director,release_date,release_year,release_month,budget_category,rating_category,status,tagline,overview,decade
1699155,Maternal Instinct,en,25.8346,7.25,14,97,0,0,Jessica Dimmock,2026-06-11,2026,6,Unknown,Good,Released,,Police pull over a woman who claims she just gave birth. But the baby — and the blood — aren't hers. Twisted lies unravel in this true-crime documentary.,2020s
10138,Iron Man 2,en,25.6629,6.855,22421,124,200000000,623933331,Jon Favreau,2010-04-28,2010,4,Blockbuster,Average,Released,"It's not the armor that makes the hero, but the man inside.","With the world now aware of his dual life as the armored superhero Iron Man, billionaire inventor Tony Stark faces pressure from the government, the press and the public to share his technology with the military. Unwilling to let go of his invention, Stark, with Pepper Potts and James 'Rhodey' Rhodes at his side, must forge new alliances – and confront powerful enemies.",2010s
1316427,7 Dogs,ar,25.5374,6.4,5,123,40000000,0,Adil El Arbi,2026-05-27,2026,5,Medium,Average,Released,Not all dogs stay loyal.,Interpol agent Khalid Al-Azzazi joins forces with Ghali Abu Dawood from the 7 Dogs crime syndicate to fight drug trafficking.,2020s
872585,Oppenheimer,en,25.5045,8.027,11854,181,100000000,952000000,Christopher Nolan,2023-07-19,2023,7,High,Excellent,Released,The world forever changes.,The story of J. Robert Oppenheimer's role in the development of the atomic bomb during World War II.,2020s
150540,Inside Out,en,25.2118,7.909,23494,95,175000000,857611174,Pete Docter,2015-06-17,2015,6,Blockbuster,Good,Released,Meet the little voices inside your head.,"When 11-year-old Riley moves to a new city, her Emotions team up to help her through the transition. Joy, Fear, Anger, Disgust and Sadness work together, but when Joy and Sadness get lost, they must journey through unfamiliar places to get back home.",2010s
796,Cruel Intentions,en,25.1548,6.8,3591,97,10500000,76347426,Roger Kumble,1999-03-05,1999,3,Medium,Average,Released,"In the game of seduction, there is only one rule: Never fall in love.","Slaking a thirst for dangerous games, Kathryn challenges her stepbrother, Sebastian, to deflower their headmaster's daughter before the summer ends. If he succeeds, the prize is the chance to bed Kathryn. But if he loses, Kathryn will claim his most prized possession.",1990s
1371023,Chand Mera Dil,hi,25.1144,5.4,4,142,0,0,Vivek Soni,2026-05-22,2026,5,Unknown,Average,Released,When love grows faster than life,"Aarav and Chandni's passionate college romance is struck by adulthood far too soon, forcing the two young lovers to balance their ambitions with responsibility and realize the evolved meaning of love.",2020s
680493,Return to Silent Hill,en,25.0204,5.418,619,106,23000000,47976996,Christophe Gans,2026-01-21,2026,1,Medium,Average,Released,Guilt is a place you can never leave.,"When James receives a mysterious letter from his lost love Mary, he is drawn to Silent Hill—a once-familiar town now consumed by darkness. As he searches for her, James faces monstrous creatures and unravels a terrifying truth that will push him to the edge of his sanity.",2020s
106646,The Wolf of Wall Street,en,24.9331,8.028,25973,180,100000000,407038432,Martin Scorsese,2013-12-25,2013,12,High,Excellent,Released,Earn. Spend. Party.,"A New York stockbroker refuses to cooperate in a large securities fraud case involving corruption on Wall Street, corporate banking world and mob infiltration. Based on Jordan Belfort's autobiography.",2010s
1383731,Protector,en,21.5402,8.371,252,90,0,1969113,Adrian Grünberg,2026-02-20,2026,2,Unknown,Excellent,Released,Mother. Savior. Killer...,"Nikki's life is shattered when her daughter is kidnapped. Thrust into the criminal underworld while hunted by cops and military, she must fight to rescue her child.",2020s
11,Star Wars,en,24.9024,8.2,22387,121,11000000,775398007,George Lucas,1977-05-25,1977,5,Medium,Excellent,Released,"A long time ago in a galaxy far, far away...",Princess Leia is captured and held hostage by the evil Imperial forces in their effort to take over the galactic Empire. Venturesome Luke Skywalker and dashing captain Han Solo team together with the loveable robot duo R2-D2 and C-3PO to rescue the beautiful princess and restore peace and justice in the Empire.,1970s
438631,Dune,en,24.7583,7.78,14958,155,165000000,410668500,Denis Villeneuve,2021-09-15,2021,9,Blockbuster,Good,Released,It begins.,"Paul Atreides, a brilliant and gifted young man born into a great destiny beyond his understanding, must travel to the most dangerous planet in the universe to ensure the future of his family and his people. As malevolent forces explode into conflict over the planet's exclusive supply of the most precious resource in existence-a commodity capable of unlocking humanity's greatest potential-only those who can conquer their fear will survive.",2020s
64641,Monika,it,24.6064,4.7,20,93,0,0,Mario Imperoli,1974-02-28,1974,2,Unknown,Poor,Released,,"Monika is young, beautiful and a virgin. She is only 16 years old, and, beside getting the attention of all her classmates, she also attracts older men. She has a relationship with a boy, Leo, but she doesn't know that he uses to pimp the girls he seduces to rich businessmen. One of Leo's client befriends Monika and becomes so obsessed that he pays Leo to get her. But Monika turns her attention to her art professor, unknowing that he too has his secrets.",1970s
1232221,Mother-in-law in Love With Son-in-law 4,ko,24.5783,4.0,1,71,0,0,Choi Yoon-ji-I,2023-12-26,2023,12,Unknown,Poor,Released,,"Joon-yeon and So-hyeon are living together with Joon-yeon's young and pretty mother-in-law for a while after his father-in-law remarries. One day, Joon-yeon is left home alone with his mother-in-law due to So-hyeon and her father-in-law's sudden business trip. The mother-in-law seduces her handsome son-in-law on a hot night. Unable to forget the sex he had with his mother-in-law, Joon-yeon even plans to have a threesome with his wife and his mother-in-law.",2020s
324857,Spider-Man: Into the Spider-Verse,en,24.5197,8.393,17293,117,90000000,394884133,Bob Persichetti,2018-12-06,2018,12,High,Excellent,Released,Enter a universe where more than one wears the mask.,"Struggling to find his place in the world while juggling school and family, Brooklyn teenager Miles Morales is unexpectedly bitten by a radioactive spider and develops unfathomable powers just like the one and only Spider-Man. While wrestling with the implications of his new abilities, Miles discovers a super collider created by the madman Wilson ""Kingpin"" Fisk, causing others from across the Spider-Verse to be inadvertently transported to his dimension.",2010s
76600,Avatar: The Way of Water,en,24.4258,7.595,14190,192,460000000,2334484620,James Cameron,2022-12-14,2022,12,Blockbuster,Good,Released,Return to Pandora.,"Set more than a decade after the events of the first film, learn the story of the Sully family (Jake, Neytiri, and their kids), the trouble that follows them, the lengths they go to keep each other safe, the battles they fight to stay alive, and the tragedies they endure.",2020s
1011985,Kung Fu Panda 4,en,24.4039,7.002,3530,94,80000000,548040835,Mike Mitchell,2024-03-02,2024,3,High,Good,Released,The “Dragon” returns.,"Po is gearing up to become the spiritual leader of his Valley of Peace, but also needs someone to take his place as Dragon Warrior. As such, he will train a new kung fu practitioner for the spot and will encounter a villain called the Chameleon who conjures villains from the past.",2020s
99861,Avengers: Age of Ultron,en,24.2849,7.274,24484,141,235000000,1405403694,Joss Whedon,2015-04-22,2015,4,Blockbuster,Good,Released,A new age has come.,"When Tony Stark tries to jumpstart a dormant peacekeeping program, things go awry and Earth’s Mightiest Heroes are put to the ultimate test as the fate of the planet hangs in the balance. As the villainous Ultron emerges, it is up to The Avengers to stop him from enacting his terrible plans, and soon uneasy alliances and unexpected action pave the way for an epic and unique global adventure.",2010s
472269,Possum,en,24.2475,6.13,327,85,0,0,Matthew Holness,2018-10-26,2018,10,Unknown,Average,Released,Can you spy him deep within? Little possum. Black as sin.,A disgraced children's puppeteer returns to his childhood home and is forced to confront his wicked stepfather and the secrets that have tortured him his entire life.,2010s
1234731,Anaconda,en,24.1531,5.89,1216,100,45000000,135148320,Tom Gormican,2025-12-24,2025,12,Medium,Average,Released,A comedy so big it'll leave you breathless.,"A group of friends facing mid-life crises head to the rainforest with the intention of remaking their favorite movie from their youth, only to find themselves in a fight for their lives against natural disasters, giant snakes and violent criminals.",2020s
1551003,R.L. Stine's Pumpkinhead,en,24.0123,7.036,28,91,0,0,Jem Garrard,2025-10-17,2025,10,Unknown,Good,Released,,"When his brother disappears and everyone forgets he existed, Sam must unravel the mystery before Finn is gone forever.",2020s
950387,A Minecraft Movie,en,24.0031,6.257,3028,101,150000000,960387780,Jared Hess,2025-03-31,2025,3,Blockbuster,Average,Released,Be there and be square.,"Four misfits find themselves struggling with ordinary problems when they are suddenly pulled through a mysterious portal into the Overworld: a bizarre, cubic wonderland that thrives on imagination. To get back home, they'll have to master this world while embarking on a magical quest with an unexpected, expert crafter, Steve.",2020s
1368881,Ladies First,en,23.9862,6.008,325,94,0,0,Thea Sharrock,2026-05-21,2026,5,Unknown,Average,Released,,"An arrogant but charismatic ladies' man finds his life of money, power and casual flings upended when he wakes up in a parallel world dominated by women.",2020s
389,12 Angry Men,en,23.9117,8.6,10039,97,397751,4360000,Sidney Lumet,1957-04-10,1957,4,Low,Excellent,Released,It explodes like 12 sticks of dynamite!,"The defense and the prosecution have rested and the jury is filing into the jury room to decide if a young Spanish-American is guilty or innocent of murdering his father. What begins as an open and shut case soon becomes a mini-drama of each of the jurors' prejudices and preconceptions about the trial, the accused, and each other.",1950s
402,Basic Instinct,en,23.8728,6.9,4385,128,49000000,352927224,Paul Verhoeven,1992-03-20,1992,3,Medium,Average,Released,A brutal murder. A brilliant killer. A cop who can't resist the danger.,"Catherine, a novelist with an insatiable sexual appetite, becomes a prime suspect when her boyfriend is brutally murdered -- a crime she had described in her latest story.",1990s
98,Gladiator,en,22.155,8.227,20952,155,103000000,465516248,Ridley Scott,2000-05-04,2000,5,High,Excellent,Released,What we do in life echoes in eternity.,"After the death of Emperor Marcus Aurelius, his devious son takes power and demotes Maximus, one of Rome's most capable generals who Marcus preferred. Eventually, Maximus is forced to become a gladiator and battle to the death against other men for the amusement of paying audiences.",2000s
143449,Lusty Sisters,ja,23.8604,4.8,5,70,0,0,Chūsei Sone,1972-11-29,1972,11,Unknown,Poor,Released,,"Three sisters live alienated existences in modern day Tokyo. One works as a secretary, one is a prostitute, and one is a criminal. The secretary is cynically unhappy with the sexist business world which limits her opportunities for advancement and makes her a target for her lecherous boss. The prostitute lives an aimless life, drifting between men, and often the target of either police or jealous wives. The criminal, who lives by disrupting the society which oppresses her two sisters, is the only happy one of the three.",1970s
1087192,How to Train Your Dragon,en,23.8561,7.927,2866,125,150000000,636351148,Dean DeBlois,2025-06-06,2025,6,Blockbuster,Good,Released,The legend is real.,"On the rugged isle of Berk, where Vikings and dragons have been bitter enemies for generations, Hiccup stands apart, defying centuries of tradition when he befriends Toothless, a feared Night Fury dragon. Their unlikely bond reveals the true nature of dragons, challenging the very foundations of Viking society.",2020s
1628367,Kartavya,hi,23.7897,6.5,19,109,0,0,Pulkit,2026-05-15,2026,5,Unknown,Average,Released,,"With his family's safety at stake and menacing threats closing in, a police officer must decide how far he'll go to uphold his duty.",2020s
22,Pirates of the Caribbean: The Curse of the Black Pearl,en,23.7838,7.826,22287,143,140000000,655011224,Gore Verbinski,2003-07-09,2003,7,High,Good,Released,Prepare to be blown out of the water.,"When wily pirate Captain Barbossa seizes Jack Sparrow’s beloved ship, the Black Pearl, and kidnaps the governor’s daughter, Elizabeth Swann, blacksmith Will Turner reluctantly teams up with the unpredictable pirate Jack to rescue her—only to uncover a terrifying curse that turns Barbossa’s crew into the undead.",2000s
10681,WALL·E,en,23.5895,8.1,20335,98,180000000,521311860,Andrew Stanton,2008-06-26,2008,6,Blockbuster,Excellent,Released,"After 700 years of doing what he was built for, he'll discover what he was meant for.","After hundreds of years doing what he was built for, WALL•E— a robot designed to clean up the earth—discovers a new purpose in life when he meets a sleek search robot named EVE. EVE comes to realize that WALL•E has inadvertently stumbled upon the key to the planet's future, and races back to space to report to the humans. Meanwhile, WALL•E chases EVE across the galaxy and sets into motion one of the most imaginative adventures ever brought to the big screen.",2000s
1316092,"""Wuthering Heights""",en,23.5102,6.675,1099,136,80000000,241601072,Emerald Fennell,2026-02-11,2026,2,High,Average,Released,Come undone.,"Tragedy strikes when Heathcliff falls in love with Catherine Earnshaw, a woman from a wealthy family in 18th-century England.",2020s
6312,Brotherhood of the Wolf,fr,23.392,6.742,1733,151,29000000,70800000,Christophe Gans,2001-01-31,2001,1,Medium,Average,Released,The year is 1766... The hunt for a killer has begun.,"In 18th century France, the Chevalier de Fronsac and his Native American friend Mani are sent by the King to the Gevaudan province to investigate the killings of hundreds by a mysterious beast.",2000s
1653208,The Great Grand Superhero,hi,23.3833,0.0,0,112,0,0,Manish Saini,2026-05-29,2026,5,Unknown,Poor,Released,Aliens Ka Aagman,,2020s
1119449,"Good Luck, Have Fun, Don't Die",en,23.38,6.874,534,134,20000000,9755038,Gore Verbinski,2026-02-13,2026,2,Medium,Average,Released,Time is running out. Are you ready to join the revolution?,A 'Man from the Future' arrives at an LA diner where he must recruit the precise combination of disgruntled patrons to join him on a one-night quest to save the world from the terminal threat of a rogue artificial intelligence.,2020s
1380126,Pin/Ya,tl,23.2786,5.7,9,60,0,0,Omar Deroca,2024-12-06,2024,12,Unknown,Average,Released,,"A strong childhood bond between two girls grows into something more. Learning to play with fire as they explore their bodies, Pin and Aya soon learn that their feelings for each other are beyond friendship. With their friendship at stake, will they take a chance at love?",2020s
1197306,A Working Man,en,23.2769,6.694,1942,116,40000000,89400711,David Ayer,2025-03-26,2025,3,Medium,Average,Released,Human traffickers beware.,"Levon Cade left behind a decorated military career in the black ops to live a simple life working construction. But when his boss's daughter, who is like family to him, is taken by human traffickers, his search to bring her home uncovers a world of corruption far greater than he ever could have imagined.",2020s
77338,The Intouchables,fr,23.232,8.3,18461,113,13000000,426590315,Éric Toledano,2011-11-02,2011,11,Medium,Excellent,Released,Sometimes you have to reach into someone else's world to find out what's missing in your own.,A true story of two men who should never have met – a quadriplegic aristocrat who was injured in a paragliding accident and a young man from the projects.,2010s
10867,Malena,it,22.585,7.499,2665,108,0,14493284,Giuseppe Tornatore,2000-10-27,2000,10,Unknown,Good,Released,"Too young to be a widow, too beautiful to be alone.","12-year-old Renato experiences three significant events on the same day: the beginning of the Second World War, getting a bike, and witnessing the arrival of the gorgeous Malèna. Through his eyes, we see the curse of beauty and loneliness of Malena, whose husband is presumed dead, and, through his soul, we see his love for her.",2000s
1065834,Kattalan,ml,16.8638,7.1,5,119,0,0,Paul George,2026-05-14,2026,5,Unknown,Good,Released,THE HUNTER,"Power-hungry forces clash in the Ivory cartel war-a fierce story of control, vengeance, and survival where compassion vanishes and only the ruthless endure.",2020s
58,Pirates of the Caribbean: Dead Man's Chest,en,23.0389,7.381,17204,151,200000000,1066179747,Gore Verbinski,2006-07-06,2006,7,Blockbuster,Good,Released,Captain Jack is back!,"Captain Jack Sparrow’s got a blood debt to pay: he owes his soul to the legendary Davy Jones, ghastly Ruler of the Ocean Depths. To escape eternal servitude aboard the Flying Dutchman, ever-crafty Jack must track down the still-beating heart of Jones. But he won’t do it alone: Will Turner and Elizabeth Swann are drawn back into another one of his perilous quests—assuming they can evade execution for aiding a pirate.",2000s
